n_mutations,seed,truth_size,detected_size,tp,fp,fn,precision,recall,recall_presence,recall_type,recall_constraint,recall_auxiliary
1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,6,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,9,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,10,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,3,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,6,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,7,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,9,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
2,10,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,2,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,5,4,4,0,1,1.0,0.8,0.75,1.0,1.0,1.0
5,4,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,6,5,4,4,0,1,1.0,0.8,1.0,1.0,0.5,1.0
5,7,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,9,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
5,10,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0
10,1,10,8,8,0,2,1.0,0.8,1.0,1.0,0.0,0.6666666666666666
10,2,10,6,6,0,4,1.0,0.6,1.0,0.3333333333333333,0.3333333333333333,1.0
10,3,10,5,5,0,5,1.0,0.5,0.75,0.0,0.0,0.6666666666666666
10,4,10,9,9,0,1,1.0,0.9,1.0,0.6666666666666666,1.0,1.0
10,5,10,7,7,0,3,1.0,0.7,1.0,1.0,0.3333333333333333,0.75
10,6,10,10,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0
10,7,10,9,9,0,1,1.0,0.9,1.0,1.0,1.0,0.5
10,8,10,9,9,0,1,1.0,0.9,1.0,1.0,0.75,1.0
10,9,10,8,8,0,2,1.0,0.8,1.0,0.6666666666666666,0.5,1.0
10,10,10,8,8,0,2,1.0,0.8,0.8,1.0,0.75,1.0
20,1,20,16,16,0,4,1.0,0.8,1.0,1.0,0.6666666666666666,0.625
20,2,20,14,13,1,7,0.9285714285714286,0.65,0.8,0.5,0.5714285714285714,0.75
20,3,20,12,12,0,8,1.0,0.6,0.625,0.6666666666666666,0.5,0.6
20,4,20,17,17,0,3,1.0,0.85,1.0,0.5,0.75,1.0
20,5,20,8,8,0,12,1.0,0.4,0.6,1.0,0.0,0.5
20,6,20,12,12,0,8,1.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333
20,7,20,17,17,0,3,1.0,0.85,0.9090909090909091,1.0,0.6666666666666666,0.75
20,8,20,14,14,0,6,1.0,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
20,9,20,13,13,0,7,1.0,0.65,0.7,1.0,0.5,0.6
20,10,20,12,10,2,10,0.8333333333333334,0.5,0.75,0.3333333333333333,0.5,0.2
